Date : 2026-03-25 17:51:51
Directory : c:\Code\omni-chat
Total : 174 files,  38279 codes, 87 comments, 3692 blanks, all 42058 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Code\omni-chat\client\src\features\inbox\inbox-state.ts                 | TypeScript         |         46 |          0 |         11 |         57 |
| c:\Code\omni-chat\client\src\features\inbox\sticker-catalog.ts             | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Code\omni-chat\client\src\features\inbox\thread-media-utils.ts          | TypeScript         |         99 |          2 |         16 |        117 |
| c:\Code\omni-chat\client\src\features\ui\FilterChip.tsx                    | TypeScript JSX     |         21 |          0 |          1 |         22 |
| c:\Code\omni-chat\client\src\features\ui\MetricCard.tsx                    | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Code\omni-chat\client\src\features\ui\Select.tsx                        | TypeScript JSX     |         41 |          0 |          3 |         44 |
| c:\Code\omni-chat\client\src\features\ui\StatusBadge.tsx                   | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Code\omni-chat\client\src\features\ui\ToastStack.tsx                    | TypeScript JSX     |         70 |          0 |         10 |         80 |
| c:\Code\omni-chat\client\src\hooks\use-session.tsx                         | TypeScript JSX     |        221 |          2 |         27 |        250 |
| c:\Code\omni-chat\client\src\index.css                                     | PostCSS            |          1 |          0 |          1 |          2 |
| c:\Code\omni-chat\client\src\main.tsx                                      | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Code\omni-chat\client\src\pages\AISettingsPage.tsx                      | TypeScript JSX     |        604 |          0 |         59 |        663 |
| c:\Code\omni-chat\client\src\pages\AcceptInvitePage.tsx                    | TypeScript JSX     |        179 |          0 |         24 |        203 |
| c:\Code\omni-chat\client\src\pages\AnalyticsPage.tsx                       | TypeScript JSX     |        294 |          0 |         41 |        335 |
| c:\Code\omni-chat\client\src\pages\AutomationsPage.tsx                     | TypeScript JSX     |        331 |          0 |         43 |        374 |
| c:\Code\omni-chat\client\src\pages\CannedRepliesPage.tsx                   | TypeScript JSX     |        521 |          0 |         63 |        584 |
| c:\Code\omni-chat\client\src\pages\ChannelsPage.tsx                        | TypeScript JSX     |      1,442 |          0 |        156 |      1,598 |
| c:\Code\omni-chat\client\src\pages\InboxPage.tsx                           | TypeScript JSX     |      1,772 |          3 |        222 |      1,997 |
| c:\Code\omni-chat\client\src\pages\KnowledgePage.tsx                       | TypeScript JSX     |        503 |          0 |         65 |        568 |
| c:\Code\omni-chat\client\src\pages\LoginPage.tsx                           | TypeScript JSX     |        330 |          0 |         37 |        367 |
| c:\Code\omni-chat\client\src\pages\WorkspaceMembersPage.tsx                | TypeScript JSX     |        231 |          0 |         19 |        250 |
| c:\Code\omni-chat\client\src\services\api-base.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Code\omni-chat\client\src\services\api.ts                               | TypeScript         |         57 |          0 |         11 |         68 |
| c:\Code\omni-chat\client\src\services\realtime.ts                          | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Code\omni-chat\client\src\types\models.ts                               | TypeScript         |        294 |          0 |         21 |        315 |
| c:\Code\omni-chat\client\src\types\outbound-content.ts                     | TypeScript         |         88 |          0 |          8 |         96 |
| c:\Code\omni-chat\client\src\utils\assistant-model-options.json            | JSON               |         19 |          0 |          1 |         20 |
| c:\Code\omni-chat\client\src\utils\gemini-model-options.json               | JSON               |         29 |          0 |          0 |         29 |
| c:\Code\omni-chat\client\src\utils\inbound-notification.test.ts            | TypeScript         |         62 |          0 |          9 |         71 |
| c:\Code\omni-chat\client\src\utils\inbound-notification.ts                 | TypeScript         |         29 |          7 |          7 |         43 |
| c:\Code\omni-chat\client\src\utils\platform-icons.ts                       | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Code\omni-chat\client\src\vite-env.d.ts                                 | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Code\omni-chat\client\tsconfig.json                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Code\omni-chat\client\vite.config.ts                                    | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Code\omni-chat\docs\api-contracts.md                                    | Markdown           |        234 |          0 |        100 |        334 |
| c:\Code\omni-chat\docs\messaging-architecture.md                           | Markdown           |        199 |          0 |         69 |        268 |
| c:\Code\omni-chat\docs\migration-notes.md                                  | Markdown           |         74 |          0 |         42 |        116 |
| c:\Code\omni-chat\package-lock.json                                        | JSON               |        329 |          0 |          1 |        330 |
| c:\Code\omni-chat\package.json                                             | JSON               |         12 |          0 |          1 |         13 |
| c:\Code\omni-chat\scripts\ensure-env.mjs                                   | JavaScript         |         14 |          0 |          5 |         19 |
| c:\Code\omni-chat\server\package-lock.json                                 | JSON               |      4,202 |          0 |          1 |      4,203 |
| c:\Code\omni-chat\server\package.json                                      | JSON               |         40 |          0 |          1 |         41 |
| c:\Code\omni-chat\server\scripts\dev-public-cloudflare.mjs                 | JavaScript         |        160 |          1 |         35 |        196 |
| c:\Code\omni-chat\server\src\app.ts                                        | TypeScript         |        103 |          0 |         10 |        113 |
| c:\Code\omni-chat\server\src\channels\adapter.registry.ts                  | TypeScript         |         34 |          0 |          7 |         41 |
| c:\Code\omni-chat\server\src\channels\base.adapter.ts                      | TypeScript         |        112 |          0 |         15 |        127 |
| c:\Code\omni-chat\server\src\channels\facebook.adapter.ts                  | TypeScript         |        322 |          2 |         33 |        357 |
| c:\Code\omni-chat\server\src\channels\instagram.adapter.ts                 | TypeScript         |        299 |          0 |         29 |        328 |
| c:\Code\omni-chat\server\src\channels\line.adapter.ts                      | TypeScript         |        416 |          1 |         48 |        465 |
| c:\Code\omni-chat\server\src\channels\telegram.adapter.ts                  | TypeScript         |        696 |          1 |         41 |        738 |
| c:\Code\omni-chat\server\src\channels\tiktok.adapter.ts                    | TypeScript         |        338 |          0 |         29 |        367 |
| c:\Code\omni-chat\server\src\channels\types.ts                             | TypeScript         |        249 |          0 |         18 |        267 |
| c:\Code\omni-chat\server\src\channels\viber.adapter.ts                     | TypeScript         |        394 |          0 |         30 |        424 |
| c:\Code\omni-chat\server\src\channels\website.adapter.ts                   | TypeScript         |        132 |          0 |         12 |        144 |
| c:\Code\omni-chat\server\src\config\env.ts                                 | TypeScript         |        100 |          4 |          8 |        112 |
| c:\Code\omni-chat\server\src\lib\async-handler.ts                          | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Code\omni-chat\server\src\lib\bot-pause.ts                              | TypeScript         |         47 |          0 |          8 |         55 |
| c:\Code\omni-chat\server\src\lib\conversation-ai-state.ts                  | TypeScript         |         40 |          0 |         11 |         51 |
| c:\Code\omni-chat\server\src\lib\crypto.ts                                 | TypeScript         |         52 |          9 |          5 |         66 |
| c:\Code\omni-chat\server\src\lib\errors.ts                                 | TypeScript         |         45 |          0 |          8 |         53 |
| c:\Code\omni-chat\server\src\lib\logger.ts                                 | TypeScript         |         38 |          0 |         10 |         48 |
| c:\Code\omni-chat\server\src\lib\meta-signed-request.ts                    | TypeScript         |         52 |          0 |         12 |         64 |
| c:\Code\omni-chat\server\src\lib\mongo.ts                                  | TypeScript         |         21 |          0 |          6 |         27 |
| c:\Code\omni-chat\server\src\lib\realtime.ts                               | TypeScript         |        169 |          0 |         29 |        198 |
| c:\Code\omni-chat\server\src\lib\validators.ts                             | TypeScript         |        297 |          0 |         23 |        320 |
| c:\Code\omni-chat\server\src\middleware\authenticate.ts                    | TypeScript         |         52 |          0 |         10 |         62 |
| c:\Code\omni-chat\server\src\middleware\error-handler.ts                   | TypeScript         |         55 |          0 |          5 |         60 |
| c:\Code\omni-chat\server\src\middleware\require-role.ts                    | TypeScript         |         18 |          0 |          5 |         23 |
| c:\Code\omni-chat\server\src\middleware\require-workspace.ts               | TypeScript         |         64 |          5 |         12 |         81 |
| c:\Code\omni-chat\server\src\models\ai-settings.model.ts                   | TypeScript         |         50 |          2 |          4 |         56 |
| c:\Code\omni-chat\server\src\models\attention-item.model.ts                | TypeScript         |        108 |          0 |          4 |        112 |
| c:\Code\omni-chat\server\src\models\audit-log.model.ts                     | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Code\omni-chat\server\src\models\automation-rule.model.ts               | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Code\omni-chat\server\src\models\business-hours.model.ts                | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Code\omni-chat\server\src\models\canned-reply.model.ts                  | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Code\omni-chat\server\src\models\channel-connection.model.ts            | TypeScript         |         63 |          0 |          7 |         70 |
| c:\Code\omni-chat\server\src\models\contact.model.ts                       | TypeScript         |         47 |          0 |          6 |         53 |
| c:\Code\omni-chat\server\src\models\conversation.model.ts                  | TypeScript         |         63 |          0 |          7 |         70 |
| c:\Code\omni-chat\server\src\models\data-deletion-request.model.ts         | TypeScript         |         30 |          0 |          4 |         34 |
| c:\Code\omni-chat\server\src\models\inbound-buffer.model.ts                | TypeScript         |         58 |          0 |          5 |         63 |
| c:\Code\omni-chat\server\src\models\index.ts                               | TypeScript         |         18 |          0 |          1 |         19 |
| c:\Code\omni-chat\server\src\models\knowledge-item.model.ts                | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Code\omni-chat\server\src\models\media-asset.model.ts                   | TypeScript         |         29 |          0 |          5 |         34 |
| c:\Code\omni-chat\server\src\models\message-delivery.model.ts              | TypeScript         |         52 |          0 |          5 |         57 |
| c:\Code\omni-chat\server\src\models\message.model.ts                       | TypeScript         |        133 |          0 |         10 |        143 |
| c:\Code\omni-chat\server\src\models\user.model.ts                          | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Code\omni-chat\server\src\models\workspace-membership.model.ts          | TypeScript         |         71 |          0 |          6 |         77 |
| c:\Code\omni-chat\server\src\models\workspace.model.ts                     | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Code\omni-chat\server\src\routes\api\ai-settings.ts                     | TypeScript         |         96 |          0 |         10 |        106 |
| c:\Code\omni-chat\server\src\routes\api\audit-logs.ts                      | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Code\omni-chat\server\src\routes\api\auth.ts                            | TypeScript         |        445 |          4 |         52 |        501 |
| c:\Code\omni-chat\server\src\routes\api\automations.ts                     | TypeScript         |         83 |          0 |          8 |         91 |
| c:\Code\omni-chat\server\src\routes\api\canned-replies.ts                  | TypeScript         |         69 |          0 |         11 |         80 |
| c:\Code\omni-chat\server\src\routes\api\channels.ts                        | TypeScript         |        240 |          0 |         29 |        269 |
| c:\Code\omni-chat\server\src\routes\api\contacts.ts                        | TypeScript         |         78 |          0 |         18 |         96 |
| c:\Code\omni-chat\server\src\routes\api\conversations.ts                   | TypeScript         |        442 |          1 |         61 |        504 |
| c:\Code\omni-chat\server\src\routes\api\knowledge.ts                       | TypeScript         |         74 |          0 |         12 |         86 |
| c:\Code\omni-chat\server\src\routes\api\media-assets.ts                    | TypeScript         |         84 |          0 |         18 |        102 |
| c:\Code\omni-chat\server\src\routes\api\stickers.ts                        | TypeScript         |        104 |         10 |         13 |        127 |
| c:\Code\omni-chat\server\src\routes\api\workspace-members.ts               | TypeScript         |        295 |          0 |         43 |        338 |
| c:\Code\omni-chat\server\src\routes\public\facebook-oauth.ts               | TypeScript         |        111 |          0 |          7 |        118 |
| c:\Code\omni-chat\server\src\routes\public\line-media.ts                   | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Code\omni-chat\server\src\routes\public\meta-data-deletion.ts           | TypeScript         |        190 |          0 |         19 |        209 |
| c:\Code\omni-chat\server\src\routes\public\meta-deauthorize.ts             | TypeScript         |        105 |          0 |         11 |        116 |
| c:\Code\omni-chat\server\src\routes\public\sticker-previews.ts             | TypeScript         |         22 |          0 |          6 |         28 |
| c:\Code\omni-chat\server\src\routes\public\tiktok-media.ts                 | TypeScript         |         22 |          0 |          6 |         28 |
| c:\Code\omni-chat\server\src\routes\public\tiktok-shop-oauth.ts            | TypeScript         |        325 |          0 |          5 |        330 |
| c:\Code\omni-chat\server\src\routes\webhooks\facebook.ts                   | TypeScript         |         70 |          1 |         12 |         83 |
| c:\Code\omni-chat\server\src\routes\webhooks\instagram.ts                  | TypeScript         |         58 |          1 |         11 |         70 |
| c:\Code\omni-chat\server\src\routes\webhooks\line.ts                       | TypeScript         |         52 |          1 |         10 |         63 |
| c:\Code\omni-chat\server\src\routes\webhooks\telegram.ts                   | TypeScript         |         29 |          1 |          7 |         37 |
| c:\Code\omni-chat\server\src\routes\webhooks\tiktok.ts                     | TypeScript         |         20 |          0 |          5 |         25 |
| c:\Code\omni-chat\server\src\routes\webhooks\viber.ts                      | TypeScript         |         47 |          3 |         11 |         61 |
| c:\Code\omni-chat\server\src\routes\webhooks\website.ts                    | TypeScript         |         37 |          1 |          8 |         46 |
| c:\Code\omni-chat\server\src\scripts\seed.ts                               | TypeScript         |        413 |          0 |         21 |        434 |
| c:\Code\omni-chat\server\src\server.ts                                     | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Code\omni-chat\server\src\services\ai-reply.service.ts                  | TypeScript         |        684 |          0 |         62 |        746 |
| c:\Code\omni-chat\server\src\services\assistant-provider.service.ts        | TypeScript         |         89 |          0 |         17 |        106 |
| c:\Code\omni-chat\server\src\services\attention-item.service.ts            | TypeScript         |        474 |          0 |         60 |        534 |
| c:\Code\omni-chat\server\src\services\audit-log.service.ts                 | TypeScript         |         42 |          0 |          8 |         50 |
| c:\Code\omni-chat\server\src\services\automation.service.ts                | TypeScript         |        826 |          0 |         81 |        907 |
| c:\Code\omni-chat\server\src\services\canned-reply.service.ts              | TypeScript         |        151 |          0 |         20 |        171 |
| c:\Code\omni-chat\server\src\services\channel-connection.service.ts        | TypeScript         |      1,614 |          2 |        201 |      1,817 |
| c:\Code\omni-chat\server\src\services\channel-support.service.ts           | TypeScript         |         66 |          0 |         10 |         76 |
| c:\Code\omni-chat\server\src\services\contact.service.ts                   | TypeScript         |        222 |          0 |         37 |        259 |
| c:\Code\omni-chat\server\src\services\conversation.service.ts              | TypeScript         |        347 |          0 |         47 |        394 |
| c:\Code\omni-chat\server\src\services\email.service.ts                     | TypeScript         |         79 |          0 |          9 |         88 |
| c:\Code\omni-chat\server\src\services\facebook-oauth.service.ts            | TypeScript         |        220 |          2 |         35 |        257 |
| c:\Code\omni-chat\server\src\services\fixture-sticker-catalog.provider.ts  | TypeScript         |        165 |          6 |         30 |        201 |
| c:\Code\omni-chat\server\src\services\inbound-buffer.service.ts            | TypeScript         |        229 |          0 |         28 |        257 |
| c:\Code\omni-chat\server\src\services\inbound-webhook.service.ts           | TypeScript         |        670 |          3 |        100 |        773 |
| c:\Code\omni-chat\server\src\services\knowledge.service.ts                 | TypeScript         |        298 |          0 |         56 |        354 |
| c:\Code\omni-chat\server\src\services\line-media-content.service.ts        | TypeScript         |         86 |          0 |         13 |         99 |
| c:\Code\omni-chat\server\src\services\line-media-token.service.ts          | TypeScript         |         51 |          0 |          6 |         57 |
| c:\Code\omni-chat\server\src\services\message.service.ts                   | TypeScript         |        475 |          5 |         55 |        535 |
| c:\Code\omni-chat\server\src\services\outbound-content-executor.service.ts | TypeScript         |        121 |          0 |         16 |        137 |
| c:\Code\omni-chat\server\src\services\outbound-content.types.ts            | TypeScript         |         44 |          0 |          6 |         50 |
| c:\Code\omni-chat\server\src\services\outbound-content.utils.ts            | TypeScript         |        179 |          0 |         24 |        203 |
| c:\Code\omni-chat\server\src\services\outbound-message.service.ts          | TypeScript         |        249 |          1 |         31 |        281 |
| c:\Code\omni-chat\server\src\services\sticker-catalog.provider.ts          | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Code\omni-chat\server\src\services\sticker-catalog.service.ts           | TypeScript         |        213 |          2 |         23 |        238 |
| c:\Code\omni-chat\server\src\services\sticker-catalog.types.ts             | TypeScript         |         48 |          0 |         10 |         58 |
| c:\Code\omni-chat\server\src\services\sticker-preview-token.service.ts     | TypeScript         |         41 |          0 |          6 |         47 |
